env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic448,simplevit,0.210068,3.9508,3.69996
haa,class_room,mic450,simplevit,0.0780952,0.388865,2.1059
haa,class_room,mic451,simplevit,0.0906122,0.157918,3.9831
haa,class_room,mic452,simplevit,0.0669388,0.906919,7.45183
haa,class_room,mic454,simplevit,0.0740136,1.04466,12.9859
haa,class_room,mic455,simplevit,0.102041,2.81671,2.94923
haa,class_room,mic458,simplevit,0.114014,0.100682,3.57586
haa,class_room,mic459,simplevit,0.133878,1.96035,3.94355
haa,class_room,mic460,simplevit,0.227755,4.13883,3.04302
haa,class_room,mic462,simplevit,0.320544,6.03012,7.9049
haa,class_room,mic463,simplevit,0.211429,3.89407,6.99816
haa,class_room,mic464,simplevit,0.0805442,0.537034,1.98984
haa,class_room,mic466,simplevit,0.029932,0.187461,4.45212
haa,class_room,mic467,simplevit,0.0062585,0.837319,0.693756
haa,class_room,mic468,simplevit,0.0778231,2.41907,3.05282
haa,class_room,mic470,simplevit,0.188299,5.30356,11.9599
haa,class_room,mic471,simplevit,0.13034,5.21163,13.2052
haa,class_room,mic472,simplevit,0.10068,2.77859,8.59564
haa,class_room,mic474,simplevit,0.0789116,1.86258,2.85113
haa,class_room,mic475,simplevit,0.00816327,1.42256,3.65314
haa,class_room,mic476,simplevit,0.142857,2.98378,5.19685
haa,class_room,mic478,simplevit,0.0429932,0.629529,5.82755
haa,class_room,mic479,simplevit,0.0813605,2.41753,9.19006
haa,class_room,mic480,simplevit,0.0636735,1.2427,0.205186
haa,class_room,mic482,simplevit,0.0576871,1.47855,0.857633
haa,class_room,mic483,simplevit,0.0217687,1.33639,2.87715
haa,class_room,mic484,simplevit,0.0198639,0.879427,8.44622
haa,class_room,mic486,simplevit,0.0356463,0.147872,7.56048
haa,class_room,mic487,simplevit,0.00707483,0.42105,2.10124
haa,class_room,mic488,simplevit,0.00353741,0.295696,0.354875
haa,class_room,mic490,simplevit,0.0527891,0.877365,0.836276
haa,class_room,mic491,simplevit,0.0359184,0.423272,7.23919
haa,class_room,mic492,simplevit,0.00707483,0.125439,13.1013
haa,class_room,mic494,simplevit,0.035102,0.140299,0.0374813
haa,class_room,mic495,simplevit,0.0517007,0.691411,3.46228
haa,class_room,mic496,simplevit,0.0745578,1.02122,5.44152
haa,class_room,mic498,simplevit,0.0103401,0.26622,12.6098
haa,class_room,mic499,simplevit,0.0663946,0.866917,9.24079
haa,class_room,mic500,simplevit,0.0253061,0.536029,10.9504
haa,class_room,mic502,simplevit,0.0239456,0.757189,5.71769
haa,class_room,mic503,simplevit,0.0383673,0.0954233,9.82826
haa,class_room,mic504,simplevit,0.0236735,0.726287,6.43298
haa,class_room,mic506,simplevit,0.029932,0.237537,16.0077
haa,class_room,mic507,simplevit,0.00462585,0.0371799,6.1257
haa,class_room,mic508,simplevit,0.0644898,0.251492,2.80968
haa,class_room,mic510,simplevit,0.0312925,0.106975,5.97967
haa,class_room,mic511,simplevit,0.0503401,0.832453,5.35642
haa,class_room,mic512,simplevit,0.12381,2.76948,12.7344
haa,class_room,mic514,simplevit,0.0457143,1.10051,0.0757863
haa,class_room,mic516,simplevit,0.0560544,1.17536,7.10701
haa,class_room,mic517,simplevit,0.110204,1.77432,10.3516
haa,class_room,mic518,simplevit,0.0557823,1.25828,4.04449
haa,class_room,mic520,simplevit,0.00979592,1.29864,1.03627
haa,class_room,mic521,simplevit,0.0152381,1.17147,3.85479
haa,class_room,mic522,simplevit,0.10449,2.18259,3.66159
haa,class_room,mic524,simplevit,0.0331973,0.448396,6.09853
haa,class_room,mic525,simplevit,0.101224,2.31961,8.00332
haa,class_room,mic526,simplevit,0.29415,5.43489,13.9116
haa,class_room,mic528,simplevit,0.246259,4.86946,9.19231
haa,class_room,mic529,simplevit,0.0642177,2.19186,4.92861
haa,class_room,mic530,simplevit,0.25551,4.50491,14.1346
haa,class_room,mic532,simplevit,0.19102,4.45267,9.10197
